"PAIS","COD_SKU","FAMILY","MODEL_NAME","BRAND","TIER","STATUS"
PA,"1553",IPHONE 15 PRO MAX 256GB,IPHONE 15 PRO MAX 256GB,APPLE,FLAGSHIP,EOL
PA,"1354",SAMSUNG GALAXY A04E 3GB+32GB,SAMSUNG GALAXY A04E 3GB+32GB,SAMSUNG,MID,EOL
PA,"1424",MIFI TCL MW45,MIFI TCL MW45,TCL,OTHERS,ACTIVO
PA,"1469",MIFI TCL MW45,MIFI TCL MW45,TCL,OTHERS,ACTIVO
PA,"1525",IPHONE 15 128GB,IPHONE 15 128GB,APPLE,ULTRA HIGH,EOL
PA,"1541",IPHONE 15 PRO 128GB,IPHONE 15 PRO 128GB,APPLE,FLAGSHIP,EOL
PA,"1556",IPHONE 15 PRO MAX 256GB,IPHONE 15 PRO MAX 256GB,APPLE,FLAGSHIP,EOL
PA,"1526",IPHONE 15 128GB,IPHONE 15 128GB,APPLE,ULTRA HIGH,EOL
PA,"1531",IPHONE 15 PLUS 128GB,IPHONE 15 PLUS 128GB,APPLE,FLAGSHIP,EOL
PA,"1540",IPHONE 15 PRO 128GB,IPHONE 15 PRO 128GB,APPLE,FLAGSHIP,EOL
PA,"1542",IPHONE 15 PRO 128GB,IPHONE 15 PRO 128GB,APPLE,FLAGSHIP,EOL
PA,"1547",IPHONE 15 PRO 256GB,IPHONE 15 PRO 256GB,APPLE,FLAGSHIP,EOL
PA,"1507",HONOR 90 LITE 8GB+256GB,HONOR 90 LITE 8GB+256GB,HONOR,MIDHIGH,EOL
PA,"1543",IPHONE 15 PRO 256GB,IPHONE 15 PRO 256GB,APPLE,FLAGSHIP,EOL
PA,"1550",IPHONE 15 PRO MAX 256GB,IPHONE 15 PRO MAX 256GB,APPLE,FLAGSHIP,EOL
PA,"1518",IPHONE 15 128GB,IPHONE 15 128GB,APPLE,ULTRA HIGH,EOL
PA,"1527",IPHONE 15 256GB,IPHONE 15 256GB,APPLE,FLAGSHIP,EOL
PA,"1436",SAMSUNG GALAXY Z FLIP5 8GB+512GB,SAMSUNG GALAXY Z FLIP5 8GB+512GB,SAMSUNG,FLAGSHIP,EOL
PA,"1638",SAMSUNG GALAXY S24 ULTRA 12GB+512GB,SAMSUNG GALAXY S24 ULTRA 12GB+512GB,SAMSUNG,FLAGSHIP,EOL
PA,"1149",IPHONE 14 PLUS 256GB,IPHONE 14 PLUS 256GB,APPLE,FLAGSHIP,EOL
PA,"1416",SAMSUNG GALAXY A04E 3GB+64GB,SAMSUNG GALAXY A04E 3GB+64GB,SAMSUNG,MID,EOL
PA,"1418",SAMSUNG GALAXY A04E 3GB+64GB,SAMSUNG GALAXY A04E 3GB+64GB,SAMSUNG,MID,EOL
