"PAIS","COD_SKU","FAMILY","MODEL_NAME","BRAND","TIER","STATUS"
NI,2280,HUAWEI P10 LTE,HUAWEI P10 SILVER DS LTE,HUAWEI,HIGH,OBSOLETE
NI,2281,SAMSUNG GALAXY S8 PLUS 64GB LTE,SAMSUNG GALAXY S8 PLUS BLACK 64GB LTE,SAMSUNG,FLAGSHIP,OBSOLETE
NI,2283,NEXUS GO401,KIT NEXUS GO401 BLACK,NEXUS,ENTRY,OBSOLETE
NI,2286,dicO SMART HD (HIBRIDO) SS,DECO SMART HD (HIBRIDO) SS,KAON,LOW,OBSOLETE
NI,2287,LG K4 2017 LTE,LG K4 2017 BROWN DS LTE,LG,MID LOW,OBSOLETE
NI,2289,LG G6 LTE,LG G6 BLACK LTE,LG,FEATURE PHONE,OBSOLETE
NI,2292,LG K4 2017 LTE,KIT LG K4 2017 SILVER DS LTE,LG,MID LOW,OBSOLETE
NI,2295,AP ZONE FLEX T300,AP ZONE FLEX T300,ACC   ,FEATURE PHONE,OBSOLETE
NI,2298,AP RUCKUS ZONE FLEX R700,AP RUCKUS ZONE FLEX R700,ACC   ,FEATURE PHONE,OBSOLETE
NI,2299,IPHONE 7 PLUS 32GB LTE,IPHONE 7 PLUS SILVER 32GB LTE,APPLE,ULTRA HIGH,OBSOLETE
NI,2301,BMOBILE AX1040 LTE,KIT BMOBILE AX1040 BLUE DS LTE,BMOBILE,LOW,OBSOLETE
NI,2302,GRANDSTREAM GXP2200EXT,GRANDSTREAM GXP2200EXT,,LOW,OBSOLETE
NI,2305,GATEWAY GRANDSTREAM GXW4216,GATEWAY GRANDSTREAM GXW4216,ACC   ,GATEWAY,OBSOLETE
NI,2308,GATEWAY GRANDSTREAM HT-503,GATEWAY GRANDSTREAM HT-503,,GATEWAY,OBSOLETE
NI,2309,IP PBX UCM6510,IP PBX UCM6510,ACC   ,FLAGSHIP,OBSOLETE
NI,2310,BASE STATION GRANDSTREAM DP-750,BASE STATION GRANDSTREAM DP-750,,FEATURE PHONE,OBSOLETE
NI,2315,TERMINAL GRANDSTREAM DP-720,TERMINAL GRANDSTREAM DP-720,,FEATURE PHONE,OBSOLETE
NI,2318,IPHONE 6 32GB LTE,IPHONE 6 SPACE GRAY 32GB LTE,APPLE,ULTRA HIGH,OBSOLETE
NI,2319,IPHONE 7 32GB LTE REEMPLAZO,IPHONE 7 SILVER 32GB LTE REEMPLAZO,APPLE,ULTRA HIGH,OBSOLETE
NI,2324,MTT L-402 BLACK LTE,MTT L-402 BLACK LTE,MTT,ENTRY,OBSOLETE
NI,2325,MTT L-402 BLACK LTE,KIT MTT L-402 BLACK LTE,MTT,ENTRY,OBSOLETE
NI,2330,SAMSUNG GALAXY J7 PRIME DS LTE,SAMSUNG GALAXY J7 PRIME BLACK DS LTE,SAMSUNG,MID HIGH,OBSOLETE
NI,2331,SAMSUNG GALAXY J7 PRIME DS LTE,KIT SAMSUNG GALAXY J7 PRIME BLACK DS LTE,SAMSUNG,MID HIGH,OBSOLETE
